Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11-October-2022,68.25,69.25,65.00,65.60,67.530252468010315543,9131850,19485,616676136.00,4390654,48.08,4.25,-2.65
10-October-2022,68.30,69.70,67.50,68.70,68.642793461823397380,7259394,25344,498305083.00,1965554,27.08,2.20,0.40
7-October-2022,65.05,70.20,64.60,69.60,67.900441567436405958,15977401,39416,1084872583.00,6298951,39.42,5.60,4.55
6-October-2022,64.30,66.00,64.30,65.55,65.479618570171113717,6735813,19877,441058466.00,3520920,52.27,1.70,1.25
4-October-2022,63.05,64.45,63.05,64.05,63.840364305692327308,2948952,7560,188262170.00,892082,30.25,1.40,1.00
3-October-2022,62.00,63.10,61.20,61.90,62.117733652992357093,5375311,16092,333902137.00,1183898,22.02,1.90,-0.10
30-September-2022,61.20,62.90,59.80,62.35,61.218672759287688615,6594644,18239,403715353.00,2758371,41.83,3.10,1.15
29-September-2022,59.10,61.85,58.90,61.20,59.985797481299038541,5620834,17443,337170210.00,1848527,32.89,2.95,2.10
28-September-2022,57.85,59.25,57.70,58.05,58.251350502961694079,8531266,15192,496957766.00,4181908,49.02,1.55,0.20
27-September-2022,58.15,59.75,56.95,58.85,58.276992453609663562,5852997,19733,341095062.00,995366,17.01,2.80,0.70
26-September-2022,59.80,60.55,57.45,57.85,58.407930218797128805,3557405,11226,207780663.00,,,3.10,-1.95
